"","date","value"
"188",1963-08-01,5.4
"189",1963-09-01,5.5
"190",1963-10-01,5.5
"191",1963-11-01,5.7
"192",1963-12-01,5.5
"193",1964-01-01,5.6
"194",1964-02-01,5.4
"195",1964-03-01,5.4
"196",1964-04-01,5.3
"197",1964-05-01,5.1
"198",1964-06-01,5.2
"199",1964-07-01,4.9
"200",1964-08-01,5
"201",1964-09-01,5.1
"202",1964-10-01,5.1
"203",1964-11-01,4.8
"204",1964-12-01,5
"205",1965-01-01,4.9
"206",1965-02-01,5.1
"207",1965-03-01,4.7
"208",1965-04-01,4.8
"209",1965-05-01,4.6
"210",1965-06-01,4.6
"211",1965-07-01,4.4
"212",1965-08-01,4.4
"213",1965-09-01,4.3
"214",1965-10-01,4.2
"215",1965-11-01,4.1
"216",1965-12-01,4
"217",1966-01-01,4
"218",1966-02-01,3.8
"219",1966-03-01,3.8
"220",1966-04-01,3.8
"221",1966-05-01,3.9
"222",1966-06-01,3.8
"223",1966-07-01,3.8
"224",1966-08-01,3.8
"225",1966-09-01,3.7
"226",1966-10-01,3.7
"227",1966-11-01,3.6
"228",1966-12-01,3.8
"229",1967-01-01,3.9
"230",1967-02-01,3.8
"231",1967-03-01,3.8
"232",1967-04-01,3.8
"233",1967-05-01,3.8
"234",1967-06-01,3.9
"235",1967-07-01,3.8
"236",1967-08-01,3.8
"237",1967-09-01,3.8
"238",1967-10-01,4
"239",1967-11-01,3.9
"240",1967-12-01,3.8
"241",1968-01-01,3.7
"242",1968-02-01,3.8
"243",1968-03-01,3.7
"244",1968-04-01,3.5
"245",1968-05-01,3.5
"246",1968-06-01,3.7
"247",1968-07-01,3.7
"248",1968-08-01,3.5
"249",1968-09-01,3.4
"250",1968-10-01,3.4
"251",1968-11-01,3.4
"252",1968-12-01,3.4
"253",1969-01-01,3.4
"254",1969-02-01,3.4
"255",1969-03-01,3.4
"256",1969-04-01,3.4
"257",1969-05-01,3.4
"258",1969-06-01,3.5
"259",1969-07-01,3.5
"260",1969-08-01,3.5
"261",1969-09-01,3.7
"262",1969-10-01,3.7
"263",1969-11-01,3.5
"264",1969-12-01,3.5
"265",1970-01-01,3.9
"266",1970-02-01,4.2
"267",1970-03-01,4.4
"268",1970-04-01,4.6
"269",1970-05-01,4.8
"270",1970-06-01,4.9
"271",1970-07-01,5
"272",1970-08-01,5.1
"273",1970-09-01,5.4
"274",1970-10-01,5.5
"275",1970-11-01,5.9
"276",1970-12-01,6.1
"277",1971-01-01,5.9
"278",1971-02-01,5.9
"279",1971-03-01,6
"280",1971-04-01,5.9
"281",1971-05-01,5.9
"282",1971-06-01,5.9
"283",1971-07-01,6
"284",1971-08-01,6.1
"285",1971-09-01,6
"286",1971-10-01,5.8
"287",1971-11-01,6
"288",1971-12-01,6
"289",1972-01-01,5.8
"290",1972-02-01,5.7
"291",1972-03-01,5.8
"292",1972-04-01,5.7
"293",1972-05-01,5.7
"294",1972-06-01,5.7
"295",1972-07-01,5.6
"296",1972-08-01,5.6
"297",1972-09-01,5.5
"298",1972-10-01,5.6
"299",1972-11-01,5.3
"300",1972-12-01,5.2
"301",1973-01-01,4.9
"302",1973-02-01,5
"303",1973-03-01,4.9
"304",1973-04-01,5
"305",1973-05-01,4.9
"306",1973-06-01,4.9
"307",1973-07-01,4.8
"308",1973-08-01,4.8
"309",1973-09-01,4.8
"310",1973-10-01,4.6
"311",1973-11-01,4.8
"312",1973-12-01,4.9
"313",1974-01-01,5.1
"314",1974-02-01,5.2
"315",1974-03-01,5.1
"316",1974-04-01,5.1
"317",1974-05-01,5.1
"318",1974-06-01,5.4
